id,codigo,titulo,ponente,institucion,bio_ponente,descripcion,imagen_ponente,banner,fecha_inicio,fecha_fin,lugar,tipo,cupo_maximo,activa,creado,actualizado
1,C1,Optimización en una línea de producción: un caso real,Dr. Miguel Mata Pérez,Universidad Autónoma de Nuevo León,Doctor en Ingeniería Industrial con especialización en gestión de inventarios y optimización de cadenas de suministro.,En manufactura el tiempo de entrega de los productos es de vital importancia... En esta plática se presenta el caso de una empresa líder que enfrenta problemas de programación y secuenciamiento en el piso de producción.,/assets/images/actividades/ponentes/Dr.MiguelMata.jpg,/assets/images/actividades/banners/C1.png,2025-09-25 16:00:00,2025-09-25 17:00:00,Auditorio de Ingenierías Edificio G,Conferencia,150,1,2025-09-22 12:26:03,2025-09-22 12:26:03
2,C2,Ingeniería en capas: cómo la manufactura aditiva construye el futuro,Dra. Cynthia Graciela Flores Hernández,Instituto Tecnológico Superior de Coatzacoalcos,Doctora en Ingeniería Industrial especializada en manufactura aditiva y diseño para impresión 3D.,"Cómo la impresión 3D está revolucionando procesos industriales mediante diseño funcional, materiales sostenibles y prototipado inteligente. Una mirada práctica a la manufactura aditiva en ingeniería industrial.",/assets/images/actividades/ponentes/Dra.CynthiaFlores.jpg,/assets/images/actividades/banners/C2.png,2025-09-25 17:00:00,2025-09-25 18:00:00,Auditorio de Ingenierías Edificio G,Conferencia,150,1,2025-09-22 12:26:03,2025-09-22 12:26:03
3,C3,Del dato a la decisión: cómo pensar como un ingeniero y actuar como un financiero,Lic. Aaron Zavala Serrano,Consultor Independiente,Licenciado en Administración con especialización en finanzas corporativas y análisis de inversiones.,"Gestión de operaciones desde una perspectiva financiera: ROI, flujo financiero y cómo las decisiones operativas se traducen en impactos directos en la rentabilidad y sostenibilidad.",/assets/images/actividades/ponentes/Lic.AaronZavala.jpg,/assets/images/actividades/banners/C3.png,2025-09-25 09:30:00,2025-09-25 10:30:00,Auditorio de Ingenierías Edificio G,Conferencia,150,1,2025-09-22 12:26:03,2025-09-22 12:26:03
4,F1,Conversatorio sobre Movilidad Nacional e Internacional: Casos de éxito,Dr. Nicolás Francisco Mateo Diaz,Universidad del Caribe,Especializado en Procesos de Manufactura,"Este conversatorio está diseñado para explorar las vías y beneficios de la movilidad estudiantil y profesional. Se presentarán casos de éxito de estudiantes que han participado en programas de intercambio y profesionales que han expandido su carrera a nivel nacional e internacional, ofreciendo una guía práctica para quienes deseen seguir sus pasos.",/assets/images/actividades/ponentes/Dr.NicolasMateo.png,,2025-09-26 10:00:00,2025-09-26 11:00:00,Auditorio de Ingenierías Edificio G,Foro,150,1,2025-09-22 12:26:03,2025-09-26 10:24:29
5,F2,Foro de Estudiantes de Postgrado,Estudiantes de Postgrado,Universidad del Caribe,Estudiantes de maestría y doctorado en ingeniería.,Mesa redonda con estudiantes de posgrado sobre investigación aplicada y desarrollo profesional.,/assets/images/actividades/ponentes/EstudiantesPosgrado.jpg,/assets/images/actividades/banners/F2.png,2025-09-26 11:00:00,2025-09-26 12:00:00,Auditorio de Ingenierías Edificio G,Foro,150,1,2025-09-22 12:26:03,2025-09-26 10:24:18
6,C4,3 herramientas para un proyecto de vida,Lic. Arturo Guzmán Contreras,Coach Profesional,Licenciado en Administración con certificación internacional en coaching ejecutivo y desarrollo personal.,"Charla práctica para alinear metas con retos de la Ingeniería Industrial, fortalecer la toma de decisiones estratégicas y desarrollar liderazgo.",/assets/images/actividades/ponentes/Lic.ArturoGuzman.jpg,/assets/images/actividades/banners/C4.png,2025-09-26 13:00:00,2025-09-26 14:00:00,Auditorio de Ingenierías Edificio G,Conferencia,150,1,2025-09-22 12:26:03,2025-09-22 12:26:03
7,C5,"Mis obligaciones con el SAT en mi vida laboral — ""Hasta que la muerte nos separe""",Mtro. Fernando Pérez Castillo,Consultor Fiscal,Maestro en Administración Fiscal con más de 15 años de experiencia en consultoría tributaria.,Procedimientos y documentación para el cumplimiento de obligaciones fiscales al integrarse a la vida laboral.,/assets/images/actividades/ponentes/Mtro.FernandoPerez.jpg,/assets/images/actividades/banners/C5.png,2025-09-26 12:00:00,2025-09-26 13:00:00,Auditorio de Ingenierías Edificio G,Conferencia,150,1,2025-09-22 12:26:03,2025-09-22 12:26:03
8,F3,Foro de Egresados,Egresados,Universidad del Caribe,Egresados destacados de Ingeniería Industrial de diferentes generaciones.,"Encuentro de egresados para compartir trayectorias, aprendizajes y oportunidades de vinculación.",/assets/images/actividades/ponentes/Egresados.jpg,/assets/images/actividades/banners/F3.png,2025-09-25 18:30:00,2025-09-25 19:30:00,Auditorio de Ingenierías Edificio G,Foro,150,1,2025-09-22 12:26:03,2025-09-26 10:09:53
9,W1,Introducción a la teoría de inventarios: de la teoría básica a la complejidad de la aplicación,Dr. Miguel Mata Pérez,Universidad Autónoma de Nuevo León,Doctor en Ingeniería Industrial con especialización en gestión de inventarios y optimización de cadenas de suministro.,El control y mantenimiento de inventarios es fundamental en cualquier organización. Este taller aborda desde los conceptos básicos hasta la implementación práctica de modelos complejos.,/assets/images/actividades/ponentes/Dr.MiguelMata.jpg,/assets/images/actividades/banners/W1.png,2025-09-25 11:00:00,2025-09-25 14:00:00,Laboratorio de Ingeniería de Métodos y Metrología (LIM),Workshop,40,1,2025-09-22 12:26:03,2025-09-25 12:56:21
10,W3,"Diseña, imprime, impacta - La manufactura aditiva transforma la ingeniería",Dra. Cynthia Graciela Flores Hernández,Instituto Tecnológico Superior de Coatzacoalcos,Doctora en Ingeniería Industrial especializada en manufactura aditiva y diseño para impresión 3D.,"Principios del diseño para impresión 3D, tecnologías y materiales, y ejercicios prácticos de diseño e impresión.",/assets/images/actividades/ponentes/Dra.CynthiaFlores.jpg,/assets/images/actividades/banners/W2.png,2025-09-25 11:00:00,2025-09-25 14:00:00,Laboratorio de Innovación y Manufactura Avanzada (LIMA),Workshop,22,1,2025-09-22 12:26:03,2025-10-14 14:02:28
11,W2,Introducción a la Ingeniería de empaque y embalaje,Dr. Juan José Hurtado Moreno,UPIICSA IPN,Doctor en Ingeniería Industrial especializado en diseño de empaques y sistemas de protección.,"Fundamentos de ingeniería de empaque: materiales, diseño estructural, pruebas y normativas internacionales.",/assets/images/actividades/ponentes/Dr.JuanHurtado.jpg,/assets/images/actividades/banners/W3.png,2025-09-25 11:00:00,2025-09-25 14:00:00,Laboratorio de Ingeniería de Métodos (LIME),Workshop,30,1,2025-09-22 12:26:03,2025-10-14 14:02:27
12,W4,Propiedades de las arenas de moldeo,Dra. Martha Elva Pérez Ramos,TecNM Campus Querétaro,Doctora en Ingeniería de Materiales especializada en procesos de fundición.,"Preparación, caracterización y control de calidad de arenas de moldeo. Pruebas de permeabilidad, resistencia y parámetros críticos.",/assets/images/actividades/ponentes/Dra.MarthaPerez.jpg,/assets/images/actividades/banners/W4.png,2025-09-25 11:00:00,2025-09-25 14:00:00,Laboratorio de Ingeniería de Procesos Industriales (LIPI),Workshop,24,1,2025-09-22 12:26:03,2025-09-25 12:56:21
13,W5,Modelado 3D y manuales interactivos de mantenimiento con iPhone Pro y JigSpace,Dr. Alejandro Charbel Cárdenas León,Universidad del Caribe,Doctor en Ingeniería Industrial especializado en RA para mantenimiento.,Tecnologías de RA para manuales interactivos de mantenimiento con JigSpace e iPhone Pro.,/assets/images/actividades/ponentes/Dr.AlejandroCárdenas.jpg,/assets/images/actividades/banners/W5.png,2025-09-25 11:00:00,2025-09-25 14:00:00,Laboratorio de Electrónica (LEL),Workshop,25,1,2025-09-22 12:26:03,2025-09-25 12:56:21
14,W6,Fundamentos prácticos de circuitos eléctricos en Corriente Alterna,M.E.R. Leslye Johanna Ramírez Carmona,Universidad del Caribe,Maestra en Energías Renovables e Ingeniera Mecánica Electricista.,"Conceptos básicos, análisis de circuitos, mediciones y aplicaciones industriales en CA.",/assets/images/actividades/ponentes/Mtra.LeslyeRamírez.jpg,/assets/images/actividades/banners/W6.png,2025-09-25 11:00:00,2025-09-25 14:00:00,Laboratorio de Metrología Dimensional y Eléctrica,Workshop,20,1,2025-09-22 12:26:03,2025-09-25 12:56:21
21,CL1,Clausura,Comité Organizador,Facultad de Ingeniería UANL,"El comité organizador dará cierre a la Jornada de Ingeniería Industrial 2025, agradeciendo la participación de todos los asistentes y colaboradores.",Ceremonia de clausura con entrega de reconocimientos y palabras finales.,/assets/images/actividades/ponentes/comite.jpg,/assets/images/actividades/banners/clausura.png,2025-09-26 15:00:00,2025-09-26 16:00:00,Auditorio de Ingenierías Edificio G,Conferencia,150,1,2025-09-26 14:22:17,2025-09-26 14:29:07
